,MONTH,AverageTemperature,Month_Index
4,Jan,6.69695238095238,1
3,Feb,8.441619047619046,2
7,Mar,10.446809523809524,3
0,Apr,13.253095238095241,4
8,May,16.75942857142857,5
6,Jun,20.66,6
5,Jul,23.790952380952383,7
1,Aug,23.656190476190478,8
11,Sep,20.732523809523816,9
10,Oct,15.692809523809526,10
9,Nov,9.98147619047619,11
2,Dec,6.3924761904761915,12
