Word,Rank,Frequency
tongue,460,19
These,461,19
late,462,19
onely,463,19
common,464,19
drinke,465,19
Both,466,19
rather,467,19
right,468,19
honest,469,19
Earth,470,19
Heauens,471,19
knowne,472,19
Life,473,19
hither,474,19
each,475,19
fit,476,19
Gentlemen,477,19
ye,478,19
Messa,479,19
Kings,480,19
ouer,481,18
get,482,18
walke,483,18
hope,484,18
since,485,18
gentle,486,18
new,487,18
free,488,18
cold,489,18
Romans,490,18
together,491,18
send,492,18
strong,493,18
power,494,18
house,495,18
Brother,496,18
Madam,497,18
Fortune,498,18
soule,499,18
Octa,500,18
sent,501,18
Osr,502,18
Macduffe,503,18
Capitoll,504,17
May,505,17
Decius,506,17
Peace,507,17
remember,508,17
generall,509,17
Alas,510,17
vnder,511,17
Th,512,17
State,513,17
through,514,17
Such,515,17
themselues,516,17
second,517,17
came,518,17
another,519,17
dayes,520,17
Thunder,521,17
Boy,522,17
Make,523,17
Had,524,17
Seruant,525,17
Say,526,17
Master,527,17
foule,528,17
yong,529,17
Guildensterne,530,17
Sey,531,17
March,532,16
therefore,533,16
seeke,534,16
marke,535,16
sicke,536,16
times,537,16
Roman,538,16
meet,539,16
left,540,16
sit,541,16
kinde,542,16
Por,543,16
Heart,544,16
fight,545,16
Mark,546,16
On,547,16
ill,548,16
command,549,16
certaine,550,15
mee,551,15
sayes,552,15
look,553,15
loues,554,15
dangerous,555,15
Death,556,15
yours,557,15
lost,558,15
went,559,15
almost,560,15
Farewell,561,15
Vertue,562,15
question,563,15
Thus,564,15
pardon,565,15
withall,566,15
Ser,567,15
false,568,15
She,569,15
winde,570,15
voyce,571,15
Blood,572,15
earth,573,15
Letters,574,15
shalt,575,15
betweene,576,15
report,577,15
helpe,578,15
Malc,579,15
Son,580,15
grace,581,14
hard,582,14
hearts,583,14
light,584,14
ho,585,14
touch,586,14
Musicke,587,14
turne,588,14
wish,589,14
Therefore,590,14
shake,591,14
meete,592,14
lay,593,14
note,594,14
Doe,595,14
Children,596,14
beares,597,14
truth,598,14
More,599,14
young,600,14
found,601,14
desire,602,14
wilt,603,14
doubt,604,14
sound,605,14
ore,606,14
woman,607,14
receiue,608,14
ground,609,14
Take,610,14
something,611,14
Lucillius,612,14
Must,613,14
Alarum,614,14
double,615,14
madnesse,616,14
Graue,617,14
Kin,618,14
Knock,619,14
ought,620,13
Fellow,621,13
oft,622,13
Portia,623,13
Tongue,624,13
em,625,13
present,626,13
patience,627,13
Hand,628,13
Spirits,629,13
Neuer,630,13
Metellus,631,13
Reason,632,13
hide,633,13
breake,634,13
Caius,635,13
Within,636,13
speak,637,13
Honourable,638,13
whole,639,13
murther,640,13
shame,641,13
knowes,642,13
thanke,643,13
bin,644,13
gaue,645,13
Country,646,13
Royall,647,13
thousand,648,13
comming,649,13
liues,650,13
round,651,13
eares,652,13
Villaine,653,13
draw,654,13
Fortinbras,655,13
Gertrude,656,13
Lords,657,13
youth,658,13
Grace,659,13
Reynol,660,13
Gent,661,13
Malcolme,662,13
Actus,663,12
Mur,664,12
Into,665,12
See,666,12
Ha,667,12
Tell,668,12
toward,669,12
Eye,670,12
high,671,12
fashion,672,12
pale,673,12
Feare,674,12
people,675,12
hang,676,12
vnto,677,12
farewell,678,12
forme,679,12
giues,680,12
throw,681,12
Ambition,682,12
brought,683,12
point,684,12
Indeed,685,12
Tyrant,686,12
Some,687,12
friend,688,12
mans,689,12
Day,690,12
health,691,12
Cato,692,12
whom,693,12
wife,694,12
Traitors,695,12
Faith,696,12
businesse,697,12
Reuenge,698,12
friends,699,12
moue,700,12
Pindarus,701,12
Time,702,12
slaine,703,12
Murther,704,12
Gentleman,705,12
Husband,706,12
Other,707,12
Scotland,708,12
dost,709,11
beseech,710,11
weare,711,11
Armes,712,11
appeare,713,11
Pray,714,11
weepe,715,11
Cicero,716,11
run,717,11
course,718,11
Sooth,719,11
trouble,720,11
loose,721,11
Age,722,11
lookes,723,11
offer,724,11
thrice,725,11
laugh,726,11
Marry,727,11
spoke,728,11
fellow,729,11
Those,730,11
Old,731,11
change,732,11
Their,733,11
stirre,734,11
Trebonius,735,11
awake,736,11
Get,737,11
grow,738,11
tooke,739,11
mortall,740,11
halfe,741,11
along,742,11
Here,743,11
Whether,744,11
rise,745,11
greefe,746,11
Watch,747,11
mighty,748,11
haile,749,11
reason,750,11
Publius,751,11
blame,752,11
returne,753,11
begge,754,11
One,755,11
lou,756,11
sorrow,757,11
gracious,758,11
charge,759,11
Businesse,760,11
Nothing,761,11
Philippi,762,11
Messenger,763,11
Maiesty,764,11
heauen,765,11
top,766,11
Rosincrance,767,11
Trade,768,10
fine,769,10
safe,770,10
worse,771,10
passe,772,10
teares,773,10
Calphurnia,774,10
Cass,775,10
buried,776,10
Can,777,10
Flourish,778,10
weake,779,10
thinkes,780,10
stood,781,10
Mothers,782,10
newes,783,10
Fare,784,10
worth,785,10
bold,786,10
burne,787,10
Vnto,788,10
cast,789,10
woe,790,10
Sea,791,10
ayre,792,10
pleasure,793,10
vile,794,10
nature,795,10
proofe,796,10
lyes,797,10
Soules,798,10
talke,799,10
going,800,10
seemes,801,10
Out,802,10
Hearke,803,10
presently,804,10
An,805,10
House,806,10
Brothers,807,10
lies,808,10
Ambitious,809,10
Bring,810,10
Daggers,811,10
Enemy,812,10
blacke,813,10
Hee,814,10
bound,815,10
deepe,816,10
watch,817,10
Soldiers,818,10
Barn,819,10
Marcellus,820,10
Bell,821,10
Sister,822,10
Act,823,10
deare,824,10
takes,825,10
Table,826,10
Guil,827,10
Highnesse,828,10
Pyrrhus,829,10
poyson,830,10
Mac,831,10
Duncan,832,10
Seyward,833,10
cruell,834,9
aboue,835,9
speakes,836,9
lacke,837,9
shewes,838,9
Were,839,9
Men,840,9
mouth,841,9
growne,842,9
spirit,843,9
smile,844,9
told,845,9
cut,846,9
effect,847,9
Against,848,9
Reasons,849,9
dreadfull,850,9
Natures,851,9
Land,852,9
deliuer,853,9
base,854,9
oh,855,9
Hold,856,9
already,857,9
close,858,9
Cymber,859,9
Yes,860,9
least,861,9
reade,862,9
strike,863,9
Since,864,9
state,865,9
Sunne,866,9
secret,867,9
commend,868,9
begin,869,9
Should,870,9
Head,871,9
Arme,872,9
Ligarius,873,9
valiant,874,9
Welcome,875,9
straight,876,9
read,877,9
fast,878,9
Funerall,879,9
hot,880,9
offended,881,9
m,882,9
de,883,9
Treason,884,9
Action,885,9
Away,886,9
Poet,887,9
truly,888,9
Souldier,889,9
Horse,890,9
deny,891,9
pay,892,9
duty,893,9
Sleepe,894,9
tane,895,9
ioy,896,9
Strato,897,9
Nights,898,9
Hora,899,9
Thankes,900,9
excellent,901,9
Gho,902,9
Newes,903,9
Maiestie,904,9
daughter,905,9
Doctor,906,9
Macduff,907,9
Murth,908,9
Fleans,909,9
respect,910,8
directly,911,8
knaue,912,8
danger,913,8
streets,914,8
needs,915,8
Countrymen,916,8
Feast,917,8
Set,918,8
noyse,919,8
turn,920,8
passion,921,8
iust,922,8
start,923,8
Honors,924,8
Masters,925,8
breed,926,8
glad,927,8
marry,928,8
aliue,929,8
seuerall,930,8
holds,931,8
Without,932,8
open,933,8
wonder,934,8
Dagger,935,8
Tyrants,936,8
Before,937,8
terrible,938,8
Am,939,8
content,940,8
bestow,941,8
hoe,942,8
often,943,8
Sweare,944,8
shape,945,8
comfort,946,8
Woman,947,8
Daughter,948,8
bosome,949,8
braue,950,8
peece,951,8
noise,952,8
wisedome,953,8
keepes,954,8
happy,955,8
prythee,956,8
Stay,957,8
harme,958,8
heeles,959,8
Lepidus,960,8
sodaine,961,8
satisfied,962,8
red,963,8
honour,964,8
ranke,965,8
Instrument,966,8
doo,967,8
Ple,968,8
bones,969,8
Iudgement,970,8
fled,971,8
Wood,972,8
Tent,973,8
dy,974,8
Shew,975,8
Heare,976,8
Sisters,977,8
Gold,978,8
teach,979,8
Army,980,8
offence,981,8
worst,982,8
Attendants,983,8
Mes,984,8
Field,985,8
sides,986,8
damned,987,8
former,988,8
Volumnius,989,8
seruice,990,8
Barnardo,991,8
Fran,992,8
goodnight,993,8
twere,994,8
Queen,995,8
faith,996,8
damn,997,8
Braine,998,8
sword,999,8
Chamber,1000,8
knocking,1001,8
violent,1002,8
Madnesse,1003,8
bene,1004,8
Her,1005,8
verie,1006,8
anon,1007,8
Ban,1008,8
Light,1009,8
Witches,1010,8
Dunsinane,1011,8
Prima,1012,7
Stage,1013,7
idle,1014,7
matters,1015,7
leade,1016,7
fault,1017,7
mou,1018,7
towards,1019,7
perceiue,1020,7
speed,1021,7
Manet,1022,7
order,1023,7
quicke,1024,7
angry,1025,7
Man,1026,7
become,1027,7
wretched,1028,7
bend,1029,7
Coward,1030,7
colour,1031,7
Starres,1032,7
heauy,1033,7
soone,1034,7
consider,1035,7
Vnder,1036,7
Senators,1037,7
fat,1038,7
mock,1039,7
behold,1040,7
meere,1041,7
twas,1042,7
durst,1043,7
ne,1044,7
heads,1045,7
silence,1046,7
Mettle,1047,7
knew,1048,7
seem,1049,7
dull,1050,7
Poore,1051,7
redresse,1052,7
foot,1053,7
need,1054,7
Face,1055,7
Bed,1056,7
promise,1057,7
Kingdome,1058,7
darke,1059,7
Know,1060,7
Eyes,1061,7
Cin,1062,7
drop,1063,7
past,1064,7
buy,1065,7
fetch,1066,7
eate,1067,7
wholsome,1068,7
Warre,1069,7
Senate,1070,7
yeeld,1071,7
Ere,1072,7
side,1073,7
suite,1074,7
Haile,1075,7
ready,1076,7
Great,1077,7
person,1078,7
Swords,1079,7
dust,1080,7
Fortunes,1081,7
feares,1082,7
pitty,1083,7
Onely,1084,7
wayes,1085,7
making,1086,7
wounds,1087,7
Enemies,1088,7
dumbe,1089,7
Passion,1090,7
water,1091,7
try,1092,7
issue,1093,7
fill,1094,7
hearing,1095,7
Ring,1096,7
cursed,1097,7
writ,1098,7
Wherein,1099,7
forgot,1100,7
thither,1101,7
wisely,1102,7
hauing,1103,7
Drum,1104,7
Things,1105,7
Horses,1106,7
Moone,1107,7
forget,1108,7
liu,1109,7
growes,1110,7
Wine,1111,7
obey,1112,7
Claudio,1113,7
Lordship,1114,7
heauie,1115,7
blow,1116,7
begun,1117,7
Alarums,1118,7
Countries,1119,7
Bar,1120,7
Secunda,1121,7
Minde,1122,7
wicked,1123,7
Too,1124,7
vnderstand,1125,7
vnnaturall,1126,7
Goe,1127,7
Hamlets,1128,7
Court,1129,7
Sonnes,1130,7
thence,1131,7
drowne,1132,7
hoa,1133,7
Each,1134,7
shee,1135,7
ten,1136,7
hit,1137,7
English,1138,7
Colours,1139,7
Donalbaine,1140,7
Being,1141,6
Conscience,1142,6
proper,1143,6
wherefore,1144,6
Yea,1145,6
patient,1146,6
Pompeyes,1147,6
thicke,1148,6
Bid,1149,6
Cry,1150,6
Ides,1151,6
perhaps,1152,6
Thoughts,1153,6
shadow,1154,6
choose,1155,6
fauour,1156,6
single,1157,6
sometime,1158,6
Name,1159,6
brow,1160,6
nights,1161,6
smiles,1162,6
ease,1163,6
neyther,1164,6
thinking,1165,6
third,1166,6
soft,1167,6
Market,1168,6
sicknesse,1169,6
promis,1170,6
wrought,1171,6
mindes,1172,6
endure,1173,6
Besides,1174,6
faults,1175,6
monstrous,1176,6
saue,1177,6
strength,1178,6
Bond,1179,6
haste,1180,6
consequence,1181,6
turnes,1182,6
preuent,1183,6
Letter,1184,6
Knocke,1185,6
confesse,1186,6
yeare,1187,6
neede,1188,6
guilty,1189,6
mens,1190,6
deeds,1191,6
iudgement,1192,6
bleed,1193,6
maine,1194,6
held,1195,6
resolu,1196,6
bent,1197,6
morning,1198,6
care,1199,6
Y,1200,6
Supper,1201,6
foote,1202,6
vnfold,1203,6
Marriage,1204,6
sometimes,1205,6
visit,1206,6
Follow,1207,6
horrid,1208,6
Beast,1209,6
foorth,1210,6
Deci,1211,6
Lye,1212,6
smiling,1213,6
Pardon,1214,6
Remember,1215,6
About,1216,6
chance,1217,6
followes,1218,6
leysure,1219,6
Might,1220,6
Fire,1221,6
cheere,1222,6
twenty,1223,6
liuing,1224,6
Dost,1225,6
stands,1226,6
presence,1227,6
Hart,1228,6
regard,1229,6
consent,1230,6
After,1231,6
discourse,1232,6
Question,1233,6
Twere,1234,6
stuffe,1235,6
Beare,1236,6
y,1237,6
haire,1238,6
shot,1239,6
wel,1240,6
Steele,1241,6
feele,1242,6
teare,1243,6
Asse,1244,6
Powers,1245,6
Lucil,1246,6
Honour,1247,6
receiu,1248,6
doore,1249,6
Iustice,1250,6
sorry,1251,6
Foole,1252,6
Mine,1253,6
loued,1254,6
Enemie,1255,6
Gowne,1256,6
lose,1257,6
Childe,1258,6
Clit,1259,6
griefe,1260,6
labour,1261,6
quiet,1262,6
Dane,1263,6
Norway,1264,6
Fate,1265,6
Trumpet,1266,6
gainst,1267,6
Charme,1268,6
memory,1269,6
remembrance,1270,6
warlike,1271,6
freely,1272,6
meeting,1273,6
Throne,1274,6
show,1275,6
longer,1276,6
Vnkle,1277,6
disposition,1278,6
Cap,1279,6
Very,1280,6
perchance,1281,6
warrant,1282,6
Tertia,1283,6
Maid,1284,6
season,1285,6
Phrase,1286,6
Custome,1287,6
horrible,1288,6
cries,1289,6
Still,1290,6
n,1291,6
swift,1292,6
wits,1293,6
instant,1294,6
been,1295,6
Amen,1296,6
Liege,1297,6
Commission,1298,6
short,1299,6
sing,1300,6
French,1301,6
Could,1302,6
suffer,1303,6
Fellowes,1304,6
Christian,1305,6
Danish,1306,6
innocent,1307,6
graue,1308,6
wager,1309,6
Scull,1310,6
nine,1311,6
perfect,1312,6
Drumme,1313,6
Angus,1314,6
Thanes,1315,6
Seyton,1316,6
Tragedie,1317,5
Flauius,1318,5
Hence,1319,5
signe,1320,5
Answer,1321,5
Fla,1322,5
indeede,1323,5
Wherefore,1324,5
Tyber,1325,5
knees,1326,5
sort,1327,5
kisse,1328,5
vanish,1329,5
Calp,1330,5
Antonio,1331,5
presse,1332,5
Beware,1333,5
impart,1334,5
vertue,1335,5
outward,1336,5
subiect,1337,5
Thinke,1338,5
awe,1339,5
saide,1340,5
Helpe,1341,5
write,1342,5
temper,1343,5
Graues,1344,5
wide,1345,5
eternall,1346,5
Diuell,1347,5
has,1348,5
greater,1349,5
think,1350,5
chanc,1351,5
sad,1352,5
aske,1353,5
manner,1354,5
faine,1355,5
fingers,1356,5
taken,1357,5
amisse,1358,5
foure,1359,5
Enterprize,1360,5
wait,1361,5
firme,1362,5
Lightning,1363,5
sway,1364,5
Clouds,1365,5
met,1366,5
Lyon,1367,5
hundred,1368,5
Bird,1369,5
Comes,1370,5
walk,1371,5
crosse,1372,5
tempt,1373,5
tremble,1374,5
Birds,1375,5
Instruments,1376,5
fearefull,1377,5
willing,1378,5
Noblest,1379,5
Gate,1380,5
sights,1381,5
Statue,1382,5
ours,1383,5
next,1384,5
encounter,1385,5
sits,1386,5
Offence,1387,5
Call,1388,5
sleep,1389,5
Dreame,1390,5
Faces,1391,5
enter,1392,5
sweare,1393,5
betimes,1394,5
Seruants,1395,5
count,1396,5
Flatterers,1397,5
purposes,1398,5
asleepe,1399,5
neither,1400,5
vowes,1401,5
stronger,1402,5
Leaue,1403,5
Cai,1404,5
Iulius,1405,5
beyond,1406,5
foolish,1407,5
paines,1408,5
teeth,1409,5
Run,1410,5
sickly,1411,5
None,1412,5
enterprize,1413,5
neerer,1414,5
seru,1415,5
Prayers,1416,5
Starre,1417,5
Doth,1418,5
Dyes,1419,5
Liberty,1420,5
Fly,1421,5
Pulpit,1422,5
quite,1423,5
pleasures,1424,5
Wise,1425,5
rich,1426,5
bleeding,1427,5
strooke,1428,5
Wisedome,1429,5
Marcus,1430,5
greeue,1431,5
Deere,1432,5
custome,1433,5
According,1434,5
Beleeue,1435,5
Free,1436,5
Valour,1437,5
depart,1438,5
sake,1439,5
Speech,1440,5
findes,1441,5
lend,1442,5
faithfull,1443,5
Seale,1444,5
ran,1445,5
reueng,1446,5
Traitor,1447,5
reuenge,1448,5
abroad,1449,5
married,1450,5
die,1451,5
Treasure,1452,5
stop,1453,5
appear,1454,5
practice,1455,5
rash,1456,5
hart,1457,5
Legions,1458,5
weary,1459,5
naked,1460,5
Souldiers,1461,5
defence,1462,5
force,1463,5
Tit,1464,5
sirs,1465,5
wake,1466,5
Angell,1467,5
Battaile,1468,5
behinde,1469,5
slaughter,1470,5
canst,1471,5
Birth,1472,5
Two,1473,5
ride,1474,5
push,1475,5
Titin,1476,5
Hill,1477,5
Prisoner,1478,5
successe,1479,5
Put,1480,5
owe,1481,5
Sold,1482,5
Clitus,1483,5
remaines,1484,5
list,1485,5
Office,1486,5
prou,1487,5
dyed,1488,5
twelue,1489,5
thankes,1490,5
twice,1491,5
Norwey,1492,5
particular,1493,5
sore,1494,5
Image,1495,5
Law,1496,5
Lands,1497,5
return,1498,5
Cocke,1499,5
dispatch,1500,5
France,1501,5
whence,1502,5
spend,1503,5
Cosin,1504,5
Sorrow,1505,5
fie,1506,5
dearest,1507,5
length,1508,5
countenance,1509,5
blessing,1510,5
edge,1511,5
humbly,1512,5
tend,1513,5
catch,1514,5
moment,1515,5
Angels,1516,5
desperate,1517,5
Tale,1518,5
sleeping,1519,5
wil,1520,5
distracted,1521,5
wilde,1522,5
extasie,1523,5
meant,1524,5
dread,1525,5
distemper,1526,5
Obedience,1527,5
vilde,1528,5
Prince,1529,5
Tree,1530,5
either,1531,5
thanks,1532,5
pace,1533,5
Player,1534,5
Braines,1535,5
carry,1536,5
Winde,1537,5
others,1538,5
